cep,latitude,longitude,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024,media,maximo,minimo,soma,tendencia,casos_previstos_2026,risco_2026
19915740,-22.96490696875,-49.853855475,0,0,0,0,0,0,1,0,1,4,0.6,4,0,6,4,5.922799850975025,MEDIO
19904638,-23.0173963,-49.886389,0,0,0,0,1,0,1,1,2,4,0.9,4,0,9,4,5.892493387537797,MEDIO
19901610,-22.99407055036364,-49.86965669727273,0,0,0,0,3,0,1,0,5,3,1.2,5,0,12,3,5.885187232675889,MEDIO
19911285,-22.9871175,-49.8542424,0,1,0,0,2,0,0,0,4,4,1.1,4,0,11,4,5.834603040782895,MEDIO
19900241,-22.983600600969694,-49.863733684121215,0,0,0,0,0,0,2,1,3,5,1.1,5,0,11,5,5.830875578363703,MEDIO
19915055,-22.96809367400138,-49.86840415523417,1,0,0,1,6,0,0,0,2,1,1.1,6,0,11,0,5.813351513044836,MEDIO
19907390,-22.971227449814812,-49.879086405,0,0,0,0,1,1,3,0,6,5,1.6,6,0,16,5,5.77909582497341,MEDIO
19902070,-22.990727645238096,-49.86076928571429,0,0,0,2,2,0,1,2,7,0,1.4,7,0,14,0,5.777977546849797,MEDIO
19901500,-22.992857315619048,-49.86894836609524,0,0,0,0,0,0,1,6,6,4,1.7,6,0,17,4,5.764103665766015,MEDIO
19904625,-23.0177407,-49.887305,0,0,0,0,0,0,0,1,4,5,1.0,5,0,10,5,5.740176151761261,MEDIO
19915774,-22.96079277,-49.85424690333333,0,0,0,0,0,0,6,5,2,2,1.5,6,0,15,2,5.724140406152401,MEDIO
19904631,-23.01576381111111,-49.8914003,0,0,0,0,0,0,0,5,5,4,1.4,5,0,14,4,5.714421631615551,MEDIO
19912080,-22.97624996904762,-49.863467688095234,0,0,0,2,2,0,2,2,3,1,1.2,3,0,12,1,5.685446544344813,MEDIO
19907290,-22.9765090095,-49.875389999125005,0,0,0,0,0,0,1,2,5,5,1.3,5,0,13,5,5.677182997153068,MEDIO
19907235,-22.971879437301585,-49.87646847571429,0,0,0,0,2,0,1,1,1,6,1.1,6,0,11,6,5.6607074360435945,MEDIO
19907415,-22.969283122222222,-49.87807982,0,0,0,1,2,0,0,1,0,3,0.7,3,0,7,3,5.638672187922566,MEDIO
19910264,-22.9655227625,-49.8956946125,0,0,0,0,0,0,0,0,2,6,0.8,6,0,8,6,5.636078408843787,MEDIO
19910254,-22.965611147222223,-49.89434568888888,0,0,0,0,1,0,2,1,1,2,0.7,2,0,7,2,5.620738221021384,MEDIO
19912270,-22.983138666372547,-49.85731813264706,0,0,0,0,0,0,3,3,5,5,1.6,5,0,16,5,5.6113669269834645,MEDIO
19910715,-22.96124851772152,-49.89698973702532,0,0,0,0,0,0,0,2,1,4,0.7,4,0,7,4,5.602644416934709,MEDIO
19906160,-22.98436759914966,-49.87748209217687,0,0,0,1,3,0,4,1,1,2,1.2,4,0,12,2,5.599120087388656,MEDIO
19913430,-22.98221612113636,-49.84753514795455,0,0,0,0,1,0,0,3,6,0,1.0,6,0,10,0,5.59477448148391,MEDIO
